description,type,protein_100g,carbs_100g,fat_100g
"fish, salmon, sockeye, canned, without salt, drained solids with bone",protein,20.5,0.0,7.31
"salmon jerky, salmon",protein,42.9,0.0,7.14
"fish, tuna salad",protein,16.0,9.41,9.26
"fish, tuna, canned",protein,19.0,0.08,0.94
"fish, tuna, cooked",protein,30.31,0.01,5.14
"fish, tuna, nfs",protein,19.0,0.08,0.94
"fish, tuna, raw",protein,24.4,0.0,0.49
tuna cake or patty,protein,15.33,2.65,14.92
"fish, tuna, fresh, bluefin, raw",protein,23.3,0.0,4.9
"fish, tuna, fresh, skipjack, raw",protein,22.0,0.0,1.01
"fish, tuna, fresh, yellowfin, raw",protein,24.4,0.0,0.49
"turkey, whole, breast, meat only, raw",protein,23.7,0.14,1.48
"turkey, all classes, breast, meat and skin, raw",protein,21.9,0.0,7.02
"turkey, retail parts, breast, meat and skin, raw",protein,21.9,0.0,7.45
"turkey, retail parts, breast, meat only, raw",protein,23.3,0.0,2.33
"turkey, whole, breast, meat only, cooked, roasted",protein,30.1,0.0,2.08
"turkey breast, low salt, prepackaged or deli, luncheon meat",protein,21.8,3.51,0.83
"turkey breast, pre-basted, meat and skin, cooked, roasted",protein,22.2,0.0,3.46
"turkey, all classes, breast, meat and skin, cooked, roasted",protein,28.7,0.0,7.41
"turkey, retail parts, breast, meat and skin, cooked, roasted",protein,29.0,0.05,5.33
"turkey, retail parts, breast, meat only, cooked, roasted",protein,29.5,0.0,1.97
"turkey, breast, smoked, lemon pepper flavor, 97% fat-free",protein,20.9,1.31,0.69
"turkey, retail parts, breast, meat and skin, with added solution, raw",protein,20.8,0.03,6.75
"turkey, retail parts, breast, meat only, with added solution, raw",protein,22.0,0.0,2.53
"turkey, breast, from whole bird, meat only, with added solution, raw",protein,21.5,0.14,1.66
"turkey, breast, from whole bird, meat only, with added solution, roasted",protein,27.0,0.0,2.08
"turkey, retail parts, breast, meat only, with added solution, cooked, roasted",protein,27.9,0.0,2.08
"pastrami, turkey",protein,16.3,3.34,6.21
turkey with gravy,protein,20.46,1.58,3.46
"turkey, back",protein,25.58,0.0,11.26
"turkey, ground",protein,26.87,0.0,11.5
"turkey, ground, cooked",protein,27.4,0.0,10.4
"turkey, ground, raw",protein,19.7,0.0,7.66
"turkey, ground, fat free, raw",protein,23.6,0.0,1.95
"turkey, ground, 85% lean, 15% fat, raw",protein,16.9,0.0,12.5
"turkey, ground, 93% lean, 7% fat, raw",protein,18.7,0.0,8.34
"beef, ground",protein,25.55,0.0,16.82
"chicken, ground",protein,27.14,0.0,10.31
"pork, ground",protein,26.92,0.0,21.22
"beef, ground, patty",protein,25.45,0.0,18.18
"beef, ground, raw",protein,18.44,0.0,14.88
lean beef,protein,21.4,0.0,7.14
"beef, steak, ribeye, lean and fat eaten",protein,23.5,0.0,21.64
"beef, steak, ribeye, lean only eaten",protein,26.47,0.0,13.83
"beef, steak, sirloin, lean and fat eaten",protein,26.23,0.0,16.65
"beef, steak, sirloin, lean only eaten",protein,28.05,0.0,11.32
"beef, steak, strip, lean and fat eaten",protein,26.23,0.0,16.65
"beef, steak, strip, lean only eaten",protein,28.05,0.0,11.32
"beef, carcass, separable lean and fat, choice, raw",protein,17.3,0.0,24.0
"beef, carcass, separable lean and fat, select, raw",protein,17.5,0.0,22.6
"beef, steak, t-bone, lean and fat eaten",protein,25.2,0.0,18.42
"beef, steak, t-bone, lean only eaten",protein,27.12,0.0,12.69
"beef, chuck for stew, separable lean and fat, select, raw",protein,21.9,0.21,3.99
"beef, chuck for stew, separable lean and fat, choice, raw",protein,21.6,0.12,4.81
"beef, grass-fed, strip steaks, lean only, raw",protein,23.1,0.0,2.69
"beef, ground, 75% lean meat / 25% fat, raw",protein,15.8,0.0,25.0
"beef, ground, 80% lean meat / 20% fat, raw",protein,17.2,0.0,20.0
"beef, ground, 90% lean meat / 10% fat, raw",protein,20.0,0.0,10.0
"beef, ground, 93% lean meat / 7% fat, raw",protein,20.8,0.0,7.0
"beef, ground, 95% lean meat / 5% fat, raw",protein,21.4,0.0,5.0
"beef, ground, 97% lean meat / 3% fat, raw",protein,22.0,0.0,3.0
"beef, rib, shortribs, separable lean only, choice, raw",protein,19.0,0.4,10.2
"beef, chuck for stew, separable lean and fat, all grades, raw",protein,21.8,0.16,4.48
"beef, chuck for stew, separable lean and fat, choice, cooked, braised",protein,32.5,0.0,7.14
"beef, chuck for stew, separable lean and fat, select, cooked, braised",protein,32.3,0.0,6.34
"beef, brisket, whole, separable lean only, all grades, raw",protein,20.7,0.6,7.37
"beef, new zealand, imported, flank, separable lean and fat, raw",protein,20.1,0.0,8.9
"beef, new zealand, imported, flank, separable lean only, raw",protein,20.5,0.0,6.67
"beef, new zealand, imported, flat, separable lean and fat, raw",protein,20.6,0.0,10.6
"beef, new zealand, imported, flat, separable lean only, raw",protein,21.3,0.0,7.69
